Feature,Importance
Model_C4 Picasso,3.2750908047956607e-06
City_Red Sea,3.255057703106745e-06
Model_240,3.251386440500537e-06
Model_Golf 6,3.246189375591643e-06
Model_RX5 Plus,3.240623344547086e-06
Make_Kaiyi,3.2034385573265584e-06
Model_350,3.168194615639205e-06
Model_Microbus,3.1474068660528805e-06
Model_A11,3.1444822536905805e-06
Model_Excel,3.1081680139548328e-06
Model_418,3.1043599212796103e-06
City_Ain Shams,3.0048288203505496e-06
Model_DX3,2.977582167188526e-06
Model_Lanos 2,2.93096867998047e-06
Model_307,2.9010076134471193e-06
Make_Great Wall,2.890907528617578e-06
Model_Gran max,2.889635000961234e-06
Model_EAGLE 580,2.8069612463271946e-06
Model_Baleno,2.7651579505780034e-06
Model_Accent HCI,2.7625858437681967e-06
Model_Golf,2.709034533695585e-06
Model_Peri,2.6456722880022054e-06
Color_Yellow,2.611413179809641e-06
Model_City,2.579689970386334e-06
Model_V6,2.5400570563079157e-06
Model_Mini Cooper S,2.5372843904627537e-06
Model_V5,2.442894534095497e-06
Model_C 280,2.396851101842771e-06
Model_Cool Ray,2.3516018808638204e-06
Model_Atos,2.3317582012174738e-06
Model_H1,2.3302261715885307e-06
Model_JS3,2.3281309034979315e-06
Model_Jumpy,2.314382912439468e-06
Model_X70 Plus,2.277305424294675e-06
Model_Cerato Koup,2.266705206909347e-06
City_Agamy,2.2463815422735747e-06
Model_Fx,2.202202962312659e-06
Make_Chana,2.184053671654978e-06
Model_Kamiq,2.113375927927509e-06
Model_Doblo,2.103726513907196e-06
Model_XD,2.0896168389426915e-06
Model_128,2.015916529748395e-06
Model_Jolion,1.963319485257339e-06
Model_ideal,1.925988261358608e-06
City_Imbaba,1.9029180836352003e-06
Model_Town & Country,1.8956418345104323e-06
Model_406,1.891828383683497e-06
Model_Viva,1.888411786365545e-06
Model_CS 35,1.8635902053522632e-06
Model_C3 Aircross,1.7796439895143083e-06
City_Aswan,1.7435697757417024e-06
Model_Captur,1.690753062800254e-06
Make_Dongfeng,1.6637194452975593e-06
Model_Spectra,1.6301283544852692e-06
Model_Giulietta,1.5902435569182801e-06
Model_Tiggo 8 Pro,1.5733070265485348e-06
Model_Veloz,1.4892915387417075e-06
Model_Felicia,1.4652325017287876e-06
Model_Favorit,1.4036501155347397e-06
Model_Matiz,1.381861601638588e-06
Model_360,1.3514843739403443e-06
Model_Gen 2,1.3386418635646196e-06
Model_M11,1.3263114786760587e-06
Model_Punto evo,1.2427156055314574e-06
City_Qalyub,1.238041715621164e-06
Model_Nubira 1,1.2290756050304743e-06
Model_Xplosion,1.1866959524852145e-06
Model_A213,1.1678075529370015e-06
Model_Persona,1.1394525262672167e-06
Model_Clio,1.1227531038207632e-06
Model_Siena,1.115305374590005e-06
Make_Senova,1.0998584408688153e-06
Model_Escort,1.0995830508482698e-06
Model_Tiba,1.0985650449494134e-06
Model_Mini Truck,1.0840480688621211e-06
Model_New Star,1.0672890528359006e-06
Model_Tiida,1.0587208593988503e-06
Model_Ertiga,1.03890085455997e-06
Model_FSV,1.0216875069571192e-06
Model_545,1.0082335831154602e-06
Model_Xsara,1.002103768622641e-06
Model_407,9.915220660416865e-07
City_Faqous,9.830006899915868e-07
City_Borg el arab,9.741984750974808e-07
Model_Ax,9.729401048843581e-07
Model_S5,9.639644209080277e-07
City_Menouf,9.570923101289396e-07
City_Luxor,9.457031411107433e-07
Model_Cooper Hatch,9.412048704665646e-07
Model_Sonic,9.113126039894739e-07
Model_190,8.911249689563594e-07
City_Marsa Matrouh,8.354920664429613e-07
Make_Haima,8.048715027818816e-07
Model_Lancer,8.00935255716067e-07
Model_FRV,7.821231166822651e-07
City_Dikirnis,7.509896683473684e-07
Model_Tiggo 8 pro e+,7.346785762182564e-07
Model_Flyer,7.309152248307672e-07
Model_Aeolus A30,7.305286909682493e-07
Model_Sephia,7.186696661318036e-07
Model_XTrail,7.147912490994384e-07
Model_Tempra,7.135781065357259e-07
Model_280,7.065613203501401e-07
Model_230,6.713298503577628e-07
Model_Emkoo,6.454736442979325e-07
Model_C3,6.371751429055292e-07
Model_SIRION,6.066192789972266e-07
Model_518,6.000311985027672e-07
Model_Q22,5.704282965983387e-07
Model_Galloper,5.631439731811397e-07
Model_Cascada,5.430355173995152e-07
Make_Karry,5.366704114297952e-07
Model_Clubman,5.241110521685161e-07
Make_Bestune,5.046277804475646e-07
Model_Waja,5.034155642758384e-07
Model_Suran,4.965804893718475e-07
Model_Grand vitara,4.804076385215716e-07
Model_2105,4.800456024891549e-07
Model_Impreza,4.776335630772625e-07
Model_Lancer Crystala,4.762180180150131e-07
Model_GLA 180,4.5683182766088534e-07
Model_Materia,4.5613200495536313e-07
Model_C4,4.537510065007407e-07
Model_Tivoli,4.3501956500781864e-07
Model_M3,4.337239327236332e-07
Model_Yeti,4.121976444966812e-07
City_Tala,4.1110789277289185e-07
Model_Hover,4.1063548181982926e-07
City_El Senbellawein,4.0305310859244073e-07
Model_Optima,4.0101857163324064e-07
Model_Shuma,3.9591412492829976e-07
Model_504,3.9489340459055537e-07
City_Abu Qir,3.9105434898079337e-07
City_Bilbeis,3.759278836616191e-07
Model_Ceed,3.7001227571377546e-07
City_Touhk,3.690110518369772e-07
City_Dyarb Negm,3.615174033758903e-07
Model_Golf 3,3.61340583710853e-07
City_Minya Al Qamh,3.6017430535265865e-07
Model_V3,3.589183400035699e-07
Model_Livina,3.5444722867806825e-07
Model_S4,3.3724003100260026e-07
Model_Florid,3.254252761192714e-07
Model_Grand C-Max,3.194820468330657e-07
Model_Hiace,3.052676912448194e-07
Model_Cooper Roadster,3.046136491053042e-07
Model_Leganza,3.0307590902524976e-07
Model_E 320,2.9214867479759654e-07
Model_I30,2.9030805194304734e-07
Model_505,2.8103936498858084e-07
Model_A 10,2.80126452701641e-07
Model_Echo,2.779185961893553e-07
Model_Golf 5,2.770090193687259e-07
Model_Corolla Cross,2.763367575371249e-07
Model_T500,2.7533686187210737e-07
Model_Wira,2.7181228335605027e-07
Model_131,2.6101563488514846e-07
Model_Eado,2.568091731704132e-07
Model_206,2.5191177945130956e-07
Model_Uno,2.460255544347347e-07
Model_127,2.338709424043181e-07
Model_Avensis,2.2208532516993133e-07
Model_Fiesta,2.2044318790769348e-07
Color_Olive,2.187179823672042e-07
Model_Tiggo 4,2.1212846522962952e-07
Model_325,2.118344322088244e-07
Model_Niva,2.0551923097563676e-07
City_Ashmoun,2.0323762905314397e-07
Model_C 240,2.011586019382259e-07
Model_Emgrand,1.9713380152094325e-07
Model_Celerio,1.9415845764371968e-07
Model_Voyager,1.9022101342382478e-07
Model_Octavia,1.892901397457243e-07
Model_929,1.8260935272543724e-07
Model_V101,1.822427748577358e-07
Model_Juliet,1.778152686855843e-07
Model_Cielo,1.7763966222366573e-07
Model_Eado plus,1.757656233639447e-07
Model_F0,1.7489991102596847e-07
City_El Katameya,1.736448476735471e-07
City_El-Arish,1.6715076067602233e-07
Model_J3,1.647672476535133e-07
Model_E Golf,1.613578726849698e-07
Model_Cordoba,1.5696911359750175e-07
Model_Golf 2,1.551274502490189e-07
Model_180,1.5430946143789185e-07
Model_605,1.5353106079806585e-07
Model_308 sw,1.5054712446306667e-07
Model_Mirage,1.4064740013682163e-07
Model_323,1.2663349294022913e-07
Model_Palio,1.2184247669591578e-07
City_El Wadi El Gedid,1.2014447703373267e-07
City_Kafr Shukr,1.1117043652136575e-07
Model_Glory 330,1.0754278835423426e-07
Model_Cx 3,1.0646434389061882e-07
Model_Jimmy,9.773030508013261e-08
Model_Dashing,9.273558649575527e-08
Model_C31,9.061123817148742e-08
Model_Petra,8.965159110178649e-08
Model_Florida,8.713093302678796e-08
Model_Polonez,8.437822406434791e-08
Model_Berlingo,8.299113827410055e-08
Model_Starlet,8.24796860081944e-08
Model_Maple,7.434014074865597e-08
Model_Ck2,7.366386278345424e-08
Model_MCV,7.266826904573696e-08
Model_Lobo,6.867386429696812e-08
City_Ras Gharib,6.803514934474746e-08
Model_Mira,6.771913199945938e-08
Make_Hafei,6.769783536948346e-08
Model_Ritmo,6.162353162002207e-08
Model_Beetle,6.070402035845445e-08
Model_Dogan,5.886755513691086e-08
Model_J2,5.886478400114164e-08
City_Khanka,5.6359287603472406e-08
Model_foison,5.3506289864716645e-08
Make_Hawtai,4.938497860503873e-08
Model_9,4.688575601403354e-08
Model_Duster Nova,4.642458934474202e-08
Model_S 300,4.545113709626298e-08
Model_Kancil,4.108073541379352e-08
Model_1500,3.7004481765081493e-08
Model_Cross,3.669317741002921e-08
Model_2110,3.371962344983902e-08
Model_Regata,3.2461025579698695e-08
Model_Mondeo,3.231568306465638e-08
City_Shibin El Qanater,3.2017437729676346e-08
Model_Felicia combi,3.1946306635562396e-08
Model_Familia,3.1657329809488304e-08
Model_Brava,3.00985614874917e-08
Model_Splendor,2.9614883728080196e-08
Model_Panda,2.949765515723404e-08
Model_Glory,2.8849530555955606e-08
Model_207,2.8383060277170488e-08
Model_A25,2.662457367670292e-08
Model_Espero,2.6510626707721632e-08
Model_EC 7,2.617315358098399e-08
Model_2111,2.1222693101683998e-08
Model_Arrizo 5 pro,2.0484168184535757e-08
Model_Linea,2.0178530465705015e-08
Model_Sx4,2.0147896187901844e-08
Model_132,1.9517180912187886e-08
Model_Foreman,1.9495525622068622e-08
Make_Mahindra,1.872055900314486e-08
Model_Galant,1.7793076830686955e-08
Model_K5,1.7670500286529256e-08
Model_Rainbow,1.4109181702028952e-08
City_Abu Hummus,1.2590924255917102e-08
Model_Colt,1.167941441164341e-08
Model_M12,1.045398501572179e-08
City_Kom Hamada,9.768004320865854e-09
Model_Charade,9.587310127790537e-09
City_Rosetta,9.41143022337267e-09
Model_A15,9.05046119312243e-09
Model_Racer,7.132580924338242e-09
Model_Neon,6.9621315822666765e-09
Model_626,6.365543020563963e-09
Model_Corona,5.4576022452989e-09
Model_2106,4.655608683459959e-09
Make_Datsun,2.8112040967300566e-09
Model_1200,2.7675672965673756e-09
Model_Mk,1.3098120631079026e-09
